0.401	(0.0175376494474+0j)
0.402	(0.0168640337022+0j)
0.403	(0.016452277754+0j)
0.404	(0.016590235002+0j)
0.405	(0.0174253000379+0j)
0.406	(0.0168282917603+0j)
0.407	(0.0143742597575+0j)
0.408	(0.0125080631406+0j)
0.409	(0.0112571815521+0j)
0.41	(0.0103118838058+0j)
0.411	(0.00952764306844+0j)
0.412	(0.00884293284362+0j)
0.413	(0.00822940663143+0j)
0.414	(0.00767257076684+0j)
0.415	(0.00716416603528+0j)
0.416	(0.0066989403958+0j)
0.417	(0.0062731799806+0j)
0.418	(0.00588400035406+0j)
0.419	(0.00552899265451+0j)
0.42	(0.00520605095342+0j)
0.421	(0.00491330808976+0j)
0.422	(0.00464916353135+0j)
0.423	(0.00441244469269+0j)
0.424	(0.0042028611332+0j)
0.425	(0.00402218986011+0j)
0.426	(0.00387645207059+0j)
0.427	(0.00376667574171+0j)
0.428	(0.00363554658626+0j)
0.429	(0.00348167855582+0j)
0.43	(0.00336565961473+0j)
0.431	(0.00329235586392+0j)
0.432	(0.00326897353527+0j)
0.433	(0.0033275144728+0j)
0.434	(0.00355189662589+0j)
0.435	(0.00407754280861+0j)
0.436	(0.00450363309602+0j)
0.437	(0.00390735015293+0j)
0.438	(0.00325260751811+0j)
0.439	(0.00289274727937+0j)
0.44	(0.00268878617755+0j)
0.441	(0.00255696417487+0j)
0.442	(0.00246189805857+0j)
0.443	(0.00238816258309+0j)
0.444	(0.00232855580814+0j)
0.445	(0.00227954135218+0j)
0.446	(0.00223935185626+0j)
0.447	(0.00220712708261+0j)
0.448	(0.00218248607883+0j)
0.449	(0.00216529598635+0j)
0.45	(0.00215553682352+0j)
0.451	(0.00215321684294+0j)
0.452	(0.00215831693785+0j)
0.453	(0.0021707535178+0j)
0.454	(0.00219035457052+0j)
0.455	(0.00221684633749+0j)
0.456	(0.00224984953531+0j)
0.457	(0.00228888504139+0j)
0.458	(0.00233338984054+0j)
0.459	(0.00238274515313+0j)
0.46	(0.00243632050369+0j)
0.461	(0.00249354086882+0j)
0.462	(0.00255399066061+0j)
0.463	(0.00261758189802+0j)
0.464	(0.0026848433173+0j)
0.465	(0.00275745449613+0j)
0.466	(0.00283931360441+0j)
0.467	(0.00293885880136+0j)
0.468	(0.00307457098767+0j)
0.469	(0.00328902879465+0j)
0.47	(0.00368421510327+0j)
0.471	(0.00445741352322+0j)
0.472	(0.00536435836332+0j)
0.473	(0.00488395009993+0j)
0.474	(0.00393974790301+0j)
0.475	(0.00341641769657+0j)
0.476	(0.00314588886458+0j)
0.477	(0.00298619737748+0j)
0.478	(0.00287682606682+0j)
0.479	(0.00279223964179+0j)
0.48	(0.00272113279791+0j)
0.481	(0.00265842316362+0j)
0.482	(0.00260198359858+0j)
0.483	(0.00255118873348+0j)
0.484	(0.00250620871108+0j)
0.485	(0.00246763484871+0j)
0.486	(0.00243626358648+0j)
0.487	(0.00241296122895+0j)
0.488	(0.0023985729324+0j)
0.489	(0.00239385792444+0j)
0.49	(0.00239944179169+0j)
0.491	(0.00241578109276+0j)
0.492	(0.00244313785003+0j)
0.493	(0.0024815627104+0j)
0.494	(0.0025308862612+0j)
0.495	(0.00259071841857+0j)
0.496	(0.00266045613255+0j)
0.497	(0.00273930000128+0j)
0.498	(0.00282628088527+0j)
0.499	(0.00292029845307+0j)
0.5	(0.00302017510087+0j)
0.501	(0.00312473150366+0j)
0.502	(0.00323289546064+0j)
0.503	(0.00334386644654+0j)
0.504	(0.00345738059161+0j)
0.505	(0.00357416953531+0j)
0.506	(0.00369681945691+0j)
0.507	(0.00383151596277+0j)
0.508	(0.00399190273925+0j)
0.509	(0.00420837952268+0j)
0.51	(0.00455206942046+0j)
0.511	(0.00519281521203+0j)
0.512	(0.00641178493794+0j)
0.513	(0.00747820700637+0j)
0.514	(0.00643817296555+0j)
