F	f(tot)	b	0.209711E+2 0.179524E+2 0.114929E+2 0.695929E+1 0.257683E+1 0.832322E+0 0.219030E+0 0.333184E-1
F	f(core)	a	-.913222E-2 -.127227E-2 -.260236E-3 0.241992E-3 0.127134E-2 0.530328E-2 0.573156E-2 0.264024E-2
F	f(core)	b	0.792704E+4 0.140187E+4 0.237642E+3 0.651718E+1 0.932615E+0 0.348860E+0 0.120666E+0 0.214648E-1
F	f(2s)	a	-.215911E-2 -.585339E-3 0.312250E-1 0.876633E-1 0.632590E-1 0.222285E-1 0.728243E-2 0.212439E-2
F	f(2s)	b	0.568857E+4 0.371729E+4 0.142268E+2 0.592658E+1 0.235308E+1 0.796583E+0 0.216229E+0 0.330761E-1
F	f(p0)	a	0.171610E-2 0.512275E-1 0.983322E-1 0.689104E-1 0.314064E-1 0.126141E-1 0.500672E-2 0.165611E-2
F	f(p0)	b	0.323636E+2 0.214601E+2 0.850610E+1 0.342076E+1 0.135164E+1 0.501173E+0 0.157533E+0 0.262001E-1
F	f(p1)	a	-.859181E-2 0.518759E-2 0.813937E-1 0.206481E+0 0.141231E+0 0.451262E-1 0.114098E-1 0.270404E-2
F	f(p1)	b	0.484651E+4 0.429809E+4 0.268660E+2 0.105283E+2 0.388974E+1 0.123268E+1 0.298161E+0 0.409905E-1
Ne	f(tot)	a	0.173858E-2 0.115137E+0 0.458545E+0 0.551405E+0 0.325768E+0 0.130710E+0 0.525010E-1 0.178637E-1
Ne	f(tot)	b	0.366234E+4 0.248952E+2 0.102772E+2 0.426564E+1 0.169533E+1 0.598760E+0 0.174995E+0 0.283192E-1
Na	f(tot)	a	0.912931E+0 0.167078E+1 0.783084E+0 0.581412E+0 0.507127E+0 0.222540E+0 0.755914E-1 0.233211E-1
Na	f(tot)	b	0.163355E+3 0.705067E+2 0.252180E+2 0.720472E+1 0.252603E+1 0.836011E+0 0.220925E+0 0.332936E-1
Na	f(core)	a	0.134801E+0 0.261795E+0 0.135750E+0 0.313216E+0 0.166236E+0 0.743025E-1 0.358297E-1 0.136853E-1
Na	f(core)	b	0.121133E+2 0.550276E+1 0.420678E+1 0.220330E+1 0.963680E+0 0.383817E+0 0.127102E+0 0.219855E-1
Na	f(3s)	a	0.423047E+0 0.152976E+1 0.109141E+1 0.400836E+0 0.138347E+0 0.451162E-1 0.126538E-1 0.290720E-2
Na	f(3s)	b	0.206661E+3 0.982623E+2 0.424313E+2 0.154715E+2 0.494534E+1 0.140643E+1 0.328104E+0 0.436995E-1
Mg	f(tot)	a	0.118223E+1 0.189971E+1 0.898104E+0 0.531834E+0 0.412976E+0 0.184509E+0 0.678916E-1 0.224889E-1
Mg	f(tot)	b	0.971522E+2 0.411400E+2 0.158271E+2 0.510201E+1 0.188771E+1 0.663258E+0 0.188533E+0 0.297273E-1
Mg	f(core)	a	0.540330E-2 0.191333E+0 0.150109E-1 0.293783E+0 0.176938E+0 0.954319E-1 0.425482E-1 0.155196E-1
Mg	f(core)	b	0.109756E+2 0.620699E+1 0.363599E+1 0.251368E+1 0.115559E+1 0.480568E+0 0.149500E+0 0.248589E-1
Mg	f(3s)	a	0.299772E+0 0.876959E+0 0.641394E+0 0.238897E+0 0.861152E-1 0.302257E-1 0.933371E-2 0.243375E-2
Mg	f(3s)	b	0.122708E+3 0.575666E+2 0.253641E+2 0.971836E+1 0.327327E+1 0.100588E+1 0.257966E+0 0.373471E-1
Al	f(tot)	a	0.895048E+0 0.211972E+1 0.148376E+1 0.609003E+0 0.448413E+0 0.222141E+0 0.788719E-1 0.253382E-1
Al	f(tot)	b	0.108507E+3 0.443461E+2 0.180856E+2 0.616874E+1 0.207137E+1 0.715702E+0 0.200119E+0 0.309031E-1
Al	f(core)	a	-.225930E-1 -.266753E-2 0.555465E-1 0.217425E+0 0.212724E+0 0.102946E+0 0.430120E-1 0.158399E-1
Al	f(core)	b	0.715427E+4 0.891279E+3 0.680293E+1 0.300361E+1 0.129566E+1 0.499638E+0 0.153878E+0 0.254546E-1
Al	f(3s)	a	0.282901E-2 0.218769E+0 0.617846E+0 0.379106E+0 0.117513E+0 0.397836E-1 0.115426E-1 0.275248E-2
Al	f(3s)	b	0.382295E+4 0.739941E+2 0.327125E+2 0.133788E+2 0.439985E+1 0.126675E+1 0.305039E+0 0.416669E-1
Al	f(p0)	a	0.145748E-1 0.587453E+0 0.106576E+1 0.547944E+0 0.176194E+0 0.551440E-1 0.149439E-1 0.320681E-2
Al	f(p0)	b	0.258119E+3 0.118699E+3 0.511325E+2 0.195435E+2 0.617613E+1 0.168366E+1 0.374834E+0 0.475827E-1
Al	f(p1)	a	0.749661E+0 0.197045E+1 0.122555E+1 0.337418E+0 0.105389E+0 0.367128E-1 0.108174E-1 0.264727E-2
Al	f(p1)	b	0.151152E+3 0.723297E+2 0.326760E+2 0.125178E+2 0.396915E+1 0.117482E+1 0.288772E+0 0.402386E-1
Si	f(tot)	a	0.746979E+0 0.202055E+1 0.155230E+1 0.622582E+0 0.413313E+0 0.214002E+0 0.787161E-1 0.259177E-1
Si	f(tot)	b	0.806094E+2 0.348421E+2 0.148190E+2 0.542240E+1 0.183857E+1 0.651052E+0 0.188030E+0 0.294949E-1
Si	f(core)	a	-.162443E-1 -.200408E-2 0.303243E-1 0.159888E+0 0.179614E+0 0.932236E-1 0.399158E-1 0.150745E-1
Si	f(core)	b	0.730343E+4 0.973802E+3 0.593935E+1 0.263204E+1 0.116496E+1 0.463095E+0 0.145953E+0 0.243429E-1
Si	f(3s)	a	0.280432E-2 0.136895E+0 0.434739E+0 0.291225E+0 0.898289E-1 0.319712E-1 0.979862E-2 0.249993E-2
Si	f(3s)	b	0.447182E+4 0.547416E+2 0.245341E+2 0.103615E+2 0.352760E+1 0.105564E+1 0.268043E+0 0.382707E-1
Si	f(p0)	a	0.182084E+0 0.599125E+0 0.495627E+0 0.198229E+0 0.712374E-1 0.256984E-1 0.834747E-2 0.227804E-2
Si	f(p0)	b	0.986675E+2 0.460214E+2 0.205047E+2 0.811228E+1 0.280474E+1 0.885983E+0 0.236025E+0 0.351834E-1
Si	f(p1)	a	0.330575E+0 0.117745E+1 0.938552E+0 0.279666E+0 0.809000E-1 0.300236E-1 0.932256E-2 0.242403E-2
Si	f(p1)	b	0.107859E+3 0.524020E+2 0.244884E+2 0.999553E+1 0.322166E+1 0.992152E+0 0.256458E+0 0.372017E-1
P	f(tot)	a	0.233378E+0 0.158357E+1 0.188645E+1 0.841195E+0 0.429733E+0 0.241735E+0 0.887355E-1 0.284732E-1
P	f(tot)	b	0.853514E+2 0.364569E+2 0.157492E+2 0.614674E+1 0.197298E+1 0.681646E+0 0.195687E+0 0.302586E-1
P	f(core)	a	0.418578E-2 0.444565E-3 0.183595E-1 0.120500E+0 0.150974E+0 0.837265E-1 0.369155E-1 0.142825E-1
P	f(core)	b	0.531298E+4 0.915996E+2 0.523859E+1 0.229657E+1 0.104149E+1 0.426615E+0 0.137780E+0 0.231752E-1
P	f(3s)	a	0.743043E-3 0.982254E-1 0.325477E+0 0.230202E+0 0.711039E-1 0.264715E-1 0.853930E-2 0.230429E-2
P	f(3s)	b	0.339001E+4 0.421165E+2 0.191382E+2 0.829149E+1 0.291787E+1 0.904606E+0 0.240602E+0 0.355811E-1
P	f(p0)	a	0.812425E-1 0.384644E+0 0.396075E+0 0.171986E+0 0.608979E-1 0.226535E-1 0.764000E-2 0.216075E-2
P	f(p0)	b	0.801627E+2 0.376205E+2 0.171087E+2 0.701839E+1 0.247655E+1 0.801966E+0 0.220165E+0 0.335347E-1
P	f(p1)	a	0.161032E+0 0.765567E+0 0.750427E+0 0.249563E+0 0.659801E-1 0.258389E-1 0.837944E-2 0.227325E-2
P	f(p1)	b	0.847746E+2 0.413820E+2 0.196850E+2 0.842281E+1 0.276796E+1 0.876746E+0 0.235451E+0 0.351094E-1
S	f(tot)	a	0.440561E+0 0.162457E+1 0.164848E+1 0.721836E+0 0.375386E+0 0.212372E+0 0.826121E-1 0.277960E-1
S	f(tot)	b	0.580892E+2 0.259870E+2 0.115493E+2 0.468268E+1 0.160314E+1 0.580575E+0 0.174903E+0 0.278655E-1
S	f(core)	a	-.508469E-3 -.293281E-4 0.127999E-1 0.922445E-1 0.126828E+0 0.751462E-1 0.341952E-1 0.135222E-1
S	f(core)	b	0.715427E+4 0.891279E+3 0.439784E+1 0.199727E+1 0.931579E+0 0.393122E+0 0.130032E+0 0.220429E-1
